flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,series_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source
KXHIGHTMIN-26SEP07-B81.5,weather,no,2026-09-09T17:35:00Z,0.827,0.725,0.102,False,,,,2026-09-09T17:35:00Z,0.725,open,,,,,KXHIGHTMIN,Minneapolis Daily High Temperature,KMSP,2026-09-07,between,81.0,82.0,max,81.0,0,2.23,literature_placeholder
KXHIGHNY-26SEP07-T77,weather,yes,2026-09-09T17:35:00Z,0.9106,0.015,0.8956,False,,,,2026-09-09T17:35:00Z,0.015,open,,,,,KXHIGHNY,Highest temperature in NYC,KNYC,2026-09-07,less,,77.0,max,74.0,0,2.23,literature_placeholder
KXHIGHNY-26SEP07-B81.5,weather,no,2026-09-09T17:35:00Z,0.9993,0.915,0.0843,False,,,,2026-09-09T17:35:00Z,0.915,open,,,,,KXHIGHNY,Highest temperature in NYC,KNYC,2026-09-07,between,81.0,82.0,max,74.0,0,2.23,literature_placeholder
KXHIGHNY-26SEP07-B79.5,weather,no,2026-09-09T17:35:00Z,0.9911,0.42,0.5711,False,,,,2026-09-09T17:35:00Z,0.42,open,,,,,KXHIGHNY,Highest temperature in NYC,KNYC,2026-09-07,between,79.0,80.0,max,74.0,0,2.23,literature_placeholder
KXHIGHNY-26SEP07-B77.5,weather,no,2026-09-09T17:35:00Z,0.9471,0.665,0.2821,False,,,,2026-09-09T17:35:00Z,0.665,open,,,,,KXHIGHNY,Highest temperature in NYC,KNYC,2026-09-07,between,77.0,78.0,max,74.0,0,2.23,literature_placeholder
KXLOWTMIA-26SEP07-T79,weather,yes,2026-09-09T17:35:00Z,0.327,0.005,0.322,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTMIA,Lowest temperature in Miami,KMIA,2026-09-07,greater,79.0,,min,78.0,0,2.23,literature_placeholder
KXLOWTMIA-26SEP07-B78.5,weather,no,2026-09-09T17:35:00Z,0.827,0.35,0.477,False,,,,2026-09-09T17:35:00Z,0.35,open,,,,,KXLOWTMIA,Lowest temperature in Miami,KMIA,2026-09-07,between,78.0,79.0,min,78.0,0,2.23,literature_placeholder
KXLOWTMIA-26SEP07-B76.5,weather,no,2026-09-09T17:35:00Z,0.858,0.775,0.083,False,,,,2026-09-09T17:35:00Z,0.775,open,,,,,KXLOWTMIA,Lowest temperature in Miami,KMIA,2026-09-07,between,76.0,77.0,min,78.0,0,2.23,literature_placeholder
KXLOWTMIA-26SEP07-B74.5,weather,no,2026-09-09T17:35:00Z,0.9471,0.885,0.0621,False,,,,2026-09-09T17:35:00Z,0.885,open,,,,,KXLOWTMIA,Lowest temperature in Miami,KMIA,2026-09-07,between,74.0,75.0,min,78.0,0,2.23,literature_placeholder
KXLOWTSEA-26SEP07-T56,weather,yes,2026-09-09T17:35:00Z,0.327,0.115,0.212,False,,,,2026-09-09T17:35:00Z,0.115,open,,,,,KXLOWTSEA,Low Temperature Seattle,KSEA,2026-09-07,greater,56.0,,min,55.0,0,2.23,literature_placeholder
